Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
OOP345NAA - Quiz 1 - (2.5%),9/17/2024,9:50 AM,9/17/2024,11:40 AM,FALSE,,C3030,TRUE
OOP345NAA - Workshop 1 - (3%),9/24/2024,,9/24/2024,,TRUE,,,TRUE
OOP345NAA - Quiz 2 - (2.5%),10/1/2024,9:50 AM,10/1/2024,11:40 AM,FALSE,,C3030,TRUE
OOP345NAA - Workshop 2 - (5%),10/8/2024,,10/8/2024,,TRUE,,,TRUE
OOP345NAA - Midterm Test  - (30%),10/15/2024,9:50 AM,10/15/2024,11:40 AM,FALSE,,C3030,TRUE
OOP345NAA - Quiz 3 - (2.5%),11/5/2024,9:50 AM,11/5/2024,11:40 AM,FALSE,,C3030,TRUE
OOP345NAA - Workshop 3 - (5%),11/12/2024,,11/12/2024,,TRUE,,,TRUE
OOP345NAA - Quiz 4 - (2.5%),11/19/2024,9:50 AM,11/19/2024,11:40 AM,FALSE,,C3030,TRUE
OOP345NAA - Workshop 4 - (7%),11/26/2024,,11/26/2024,,TRUE,,,TRUE
OOP345NAA - Final Test  - (40%),12/10/2024,9:50 AM,12/10/2024,11:40 AM,FALSE,,C3030,TRUE
,,,,,, ,,